Sample_Source,Sample_Name,Sample_Type,Sentrix_ID,Sentrix_Position
106,GSM5813773,Tumor,9741779167,R01C01
106,GSM5813774,Normal,9741779167,R01C02
56,GSM5813775,Tumor,9741779167,R02C01
56,GSM5813776,Normal,9741779167,R02C02
136,GSM5813777,Tumor,9741779167,R03C01
136,GSM5813778,Normal,9741779167,R03C02
58,GSM5813779,Tumor,9741779167,R04C01
58,GSM5813780,Normal,9741779167,R04C02
223,GSM5813781,Tumor,9741779167,R05C01
223,GSM5813782,Normal,9741779167,R05C02
260,GSM5813783,Tumor,9741779167,R06C01
260,GSM5813784,Normal,9741779167,R06C02
164,GSM5813785,Tumor,9741779168,R01C01
164,GSM5813786,Normal,9741779168,R01C02
161,GSM5813787,Tumor,9741779168,R02C01
161,GSM5813788,Normal,9741779168,R02C02
142,GSM5813789,Tumor,9741779168,R03C01
142,GSM5813790,Normal,9741779168,R03C02
146,GSM5813791,Tumor,9741779168,R04C01
146,GSM5813792,Normal,9741779168,R04C02
141,GSM5813793,Tumor,9741779168,R05C01
141,GSM5813794,Normal,9741779168,R05C02
172,GSM5813795,Tumor,9741779168,R06C01
172,GSM5813796,Normal,9741779168,R06C02
160,GSM5813797,Normal,9741779161,R01C01
126,GSM5813798,Normal,9741779161,R01C02
160,GSM5813799,Tumor,9741779161,R02C01
126,GSM5813800,Tumor,9741779161,R02C02
179,GSM5813801,Normal,9741779161,R03C01
144,GSM5813802,Normal,9741779161,R03C02
179,GSM5813803,Tumor,9741779161,R04C01
144,GSM5813804,Tumor,9741779161,R04C02
145,GSM5813805,Normal,9741779161,R05C01
262,GSM5813806,Normal,9741779161,R05C02
145,GSM5813807,Tumor,9741779161,R06C01
262,GSM5813808,Tumor,9741779161,R06C02
279,GSM5813809,Normal,9741950012,R01C01
279,GSM5813810,Tumor,9741950012,R01C02
151,GSM5813811,Normal,9741950012,R02C01
151,GSM5813812,Tumor,9741950012,R02C02
229083,GSM5813813,Normal,9741950012,R03C01
229083,GSM5813814,Tumor,9741950012,R03C02
245,GSM5813815,Normal,9741950012,R04C01
245,GSM5813816,Tumor,9741950012,R04C02
84,GSM5813817,Normal,9741950012,R05C01
84,GSM5813818,Tumor,9741950012,R05C02
138,GSM5813819,Normal,9741950012,R06C01
138,GSM5813820,Tumor,9741950012,R06C02
330,GSM5813821,Tumor,9806233164,R01C01
330,GSM5813822,Normal,9806233164,R01C02
309,GSM5813823,Tumor,9806233164,R02C01
288,GSM5813825,Tumor,9806233164,R03C01
309,GSM5813826,Normal,9806233164,R03C02
308,GSM5813827,Tumor,9806233164,R04C01
288,GSM5813828,Normal,9806233164,R04C02
261,GSM5813829,Tumor,9806233164,R05C01
308,GSM5813830,Normal,9806233164,R05C02
261,GSM5813832,Normal,9806233164,R06C02
333,GSM5813833,Normal,9985131071,R01C01
337,GSM5813834,Normal,9985131071,R01C02
333,GSM5813835,Tumor,9985131071,R02C01
337,GSM5813836,Tumor,9985131071,R02C02
328,GSM5813837,Normal,9985131071,R03C01
340,GSM5813838,Normal,9985131071,R03C02
328,GSM5813839,Tumor,9985131071,R04C01
340,GSM5813840,Tumor,9985131071,R04C02
335,GSM5813841,Normal,9985131071,R05C01
259,GSM5813842,Normal,9985131071,R05C02
335,GSM5813843,Tumor,9985131071,R06C01
259,GSM5813844,Tumor,9985131071,R06C02
243,GSM5813845,Normal,9985131068,R01C01
244,GSM5813846,Normal,9985131068,R01C02
243,GSM5813847,Tumor,9985131068,R02C01
244,GSM5813848,Tumor,9985131068,R02C02
200100,GSM5813849,Normal,9985131068,R03C01
14,GSM5813850,Normal,9985131068,R03C02
200100,GSM5813851,Tumor,9985131068,R04C01
14,GSM5813852,Tumor,9985131068,R04C02
234,GSM5813853,Normal,9985131068,R05C01
154,GSM5813854,Normal,9985131068,R05C02
234,GSM5813855,Tumor,9985131068,R06C01
154,GSM5813856,Tumor,9985131068,R06C02
325,GSM5813857,Normal,9985131085,R01C01
343,GSM5813858,Normal,9985131085,R01C02
348,GSM5813859,Normal,9985131085,R02C01
345,GSM5813860,Normal,9985131085,R02C02
332,GSM5813861,Normal,9985131085,R03C01
256,GSM5813862,Normal,9985131085,R03C02
349,GSM5813863,Normal,9985131085,R04C01
289,GSM5813864,Normal,9985131085,R04C02
336,GSM5813865,Tumor,9985131085,R05C01
290,GSM5813866,Normal,9985131085,R05C02
342,GSM5813867,Normal,9985131085,R06C01
344,GSM5813868,Normal,9985131085,R06C02
345,GSM5813869,Tumor,3999932003,R01C01
348,GSM5813870,Tumor,3999932003,R01C02
342,GSM5813871,Tumor,3999932003,R02C01
344,GSM5813872,Tumor,3999932003,R02C02
343,GSM5813873,Tumor,3999932003,R03C01
332,GSM5813874,Tumor,3999932003,R03C02
325,GSM5813875,Tumor,3999932003,R04C01
289,GSM5813876,Tumor,3999932003,R04C02
336,GSM5813877,Normal,3999932003,R05C01
290,GSM5813878,Tumor,3999932003,R05C02
349,GSM5813879,Tumor,3999932003,R06C01
256,GSM5813880,Tumor,3999932003,R06C02